record_id,url,domain,gold_label,label_source,label_confidence,page_type,content_category,notes,source_batch_id,created_at
gl_5d050bb2f5e67a59,https://wealthydriver.com/,wealthydriver.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_62c548ac65fd07e9,https://wealthydriver.com/markets/,wealthydriver.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_85c48365644fef3e,https://wealthydriver.com/investing/,wealthydriver.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_cefe824ce9c15a5b,https://wealthydriver.com/article/you-wont-believe-what-happened-next/,wealthydriver.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_c80fe516781b4fa5,https://daily-stuff.com/,daily-stuff.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,lifestyle,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_9c6535adfa355fa4,https://daily-stuff.com/health/,daily-stuff.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,lifestyle,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_5344fe5077370e3c,https://daily-stuff.com/relationships/,daily-stuff.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,lifestyle,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_2d5518bf4945c411,https://daily-stuff.com/article/you-wont-believe-what-happened-next/,daily-stuff.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,lifestyle,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_d7ea4cc008742097,https://globetip.com/,globetip.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_f4c4cda94d92c9a0,https://globetip.com/world/,globetip.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_2f33831d79fe9c82,https://globetip.com/politics/,globetip.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_ce0ff7c2221351c6,https://globetip.com/article/you-wont-believe-what-happened-next/,globetip.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_03bae4315b66e4b7,https://heraldweekly.com/,heraldweekly.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_695bf6189f0fa35b,https://heraldweekly.com/world/,heraldweekly.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_deb6157f014126ce,https://heraldweekly.com/politics/,heraldweekly.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_8752ec380e50cdf8,https://heraldweekly.com/article/you-wont-believe-what-happened-next/,heraldweekly.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,news,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_fe50c178e742125c,https://heroinvesting.com/,heroinvesting.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_c397188a298ff57f,https://heroinvesting.com/markets/,heroinvesting.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_6290663f254b0ad5,https://heroinvesting.com/investing/,heroinvesting.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_6764e80e09f58cd8,https://heroinvesting.com/article/you-wont-believe-what-happened-next/,heroinvesting.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,finance,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_d03481f5397ca42d,https://kueez.com/,kueez.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,entertainment,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_aa86cb80eae2e39e,https://kueez.com/movies/,kueez.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,entertainment,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_3ad2ad1aba69a309,https://kueez.com/tv/,kueez.com,MFA_High,adalytics_2024_jounce_deepsee,high,category,entertainment,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_f86b6bd7d4621f29,https://kueez.com/article/you-wont-believe-what-happened-next/,kueez.com,MFA_High,adalytics_2024_jounce_deepsee,high,article,entertainment,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
gl_642ecfbc039dbd63,https://lifestyle1st.com/,lifestyle1st.com,MFA_High,adalytics_2024_jounce_deepsee,high,homepage,lifestyle,Confirmed MFA per Adalytics Jan 2024 study (ANA/WFA/ISBA/4A's + Jounce + DeepSee.io),seed-v1-2026-07-03,2026-07-03T13:16:31.695272+00:00
