domain,primary_gold_label,url_count,content_category,label_source
afar.com,Non_MFA,4,travel,editorial_publisher_allowlist
aljazeera.com,Non_MFA,4,news,editorial_publisher_allowlist
alwayspets.com,MFA_High,3,pets,pixalate_2024_industry_research
anandtech.com,Non_MFA,4,technology,editorial_publisher_allowlist
apnews.com,Non_MFA,4,news,editorial_publisher_allowlist
arstechnica.com,Non_MFA,4,technology,editorial_publisher_allowlist
axios.com,Non_MFA,4,news,editorial_publisher_allowlist
babycenter.com,Non_MFA,4,parenting,editorial_publisher_allowlist
bbc.co.uk,Non_MFA,4,news,editorial_publisher_allowlist
bbc.com,Non_MFA,4,news,editorial_publisher_allowlist
bleacherreport.com,Non_MFA,4,sports,editorial_publisher_allowlist
bloomberg.com,Non_MFA,4,news,editorial_publisher_allowlist
bonappetit.com,Non_MFA,4,food,editorial_publisher_allowlist
bonvoyaged.com,MFA_High,3,travel,pixalate_2024_industry_research
bostonglobe.com,Non_MFA,4,news,editorial_publisher_allowlist
britannica.com,Non_MFA,4,reference,editorial_publisher_allowlist
businessinsider.com,Non_MFA,4,business,editorial_publisher_allowlist
caranddriver.com,Non_MFA,4,automotive,editorial_publisher_allowlist
cdc.gov,Non_MFA,4,health,editorial_publisher_allowlist
chicagotribune.com,Non_MFA,4,news,editorial_publisher_allowlist
cnbc.com,Non_MFA,4,news,editorial_publisher_allowlist
cnet.com,Non_MFA,4,technology,editorial_publisher_allowlist
cntraveler.com,Non_MFA,4,travel,editorial_publisher_allowlist
cookingpanda.com,MFA_High,3,food,pixalate_2024_industry_research
daily-stuff.com,MFA_High,4,lifestyle,adalytics_2024_jounce_deepsee
dailyforest.com,MFA_High,3,nature,pixalate_2024_industry_research
dailymail.co.uk,Non_MFA,4,news,editorial_publisher_allowlist
dallasnews.com,Non_MFA,4,news,editorial_publisher_allowlist
deadline.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
denverpost.com,Non_MFA,4,news,editorial_publisher_allowlist
economist.com,Non_MFA,4,news,editorial_publisher_allowlist
edmunds.com,Non_MFA,4,automotive,editorial_publisher_allowlist
elpais.com,Non_MFA,4,news,editorial_publisher_allowlist
engadget.com,Non_MFA,4,technology,editorial_publisher_allowlist
espn.com,Non_MFA,4,sports,editorial_publisher_allowlist
excellenttown.com,MFA_High,4,news,adalytics_2024_jounce_deepsee
fastcompany.com,Non_MFA,4,business,editorial_publisher_allowlist
followsports.com,MFA_High,4,sports,adalytics_2024_jounce_deepsee
foodisinthehouse.com,MFA_High,3,food,pixalate_2024_industry_research
foodnetwork.com,Non_MFA,4,food,editorial_publisher_allowlist
fortune.com,Non_MFA,4,business,editorial_publisher_allowlist
ft.com,Non_MFA,4,news,editorial_publisher_allowlist
gamespot.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
giveitlove.com,MFA_High,3,lifestyle,pixalate_2024_industry_research
globetip.com,MFA_High,4,news,adalytics_2024_jounce_deepsee
gloriousa.com,MFA_High,3,entertainment,pixalate_2024_industry_research
go.reference.com,MFA_High,4,reference,adalytics_2024_jounce_deepsee
harvard.edu,Non_MFA,4,education,editorial_publisher_allowlist
hbr.org,Non_MFA,4,business,editorial_publisher_allowlist
healthline.com,Non_MFA,4,health,editorial_publisher_allowlist
heraldweekly.com,MFA_High,4,news,adalytics_2024_jounce_deepsee
heroinvesting.com,MFA_High,4,finance,adalytics_2024_jounce_deepsee
hightally.com,MFA_High,3,entertainment,pixalate_2024_industry_research
hindustantimes.com,Non_MFA,4,news,editorial_publisher_allowlist
